number,pair,species,life.stage,sex,extraction.date,mass(mg),absAVG,ug,ug.vol.correct,ug.mg
157,P.lutea,H.charithonia,teneral adult,male,6/11/21,96,0.2815,9.8772,711.160277,7.407919552
638,P.suberosa,H.charithonia,teneral adult,male,6/15/21,84,0.152,5.3195,383.0049002,4.559582145
639,P.suberosa,H.charithonia,teneral adult,male,6/15/21,64,0.1605,5.6187,404.5440562,6.321000878
643,P.suberosa,H.charithonia,teneral adult,male,6/15/21,99,0.1795,6.2874,452.6904049,4.572630353
752,P.affinis,H.charithonia,teneral adult,male,6/15/21,41,0.2345,8.2231,592.0614144,14.4405223
756,P.affinis,H.charithonia,teneral adult,male,6/15/21,79,0.281,9.8596,709.8932679,8.985990732
758,P.affinis,H.charithonia,teneral adult,male,6/15/21,102,0.1235,4.3165,310.7853771,3.046915462
762,P.affinis,H.charithonia,teneral adult,male,6/15/21,88,0.2825,9.9124,713.6942954,8.110162448
1003,P.biflora,H.charithonia,teneral adult,,,,,,,
1011,P.biflora,H.charithonia,teneral adult,male,,,,,,
1002,P.biflora,H.charithonia,teneral adult,female,,,,,,
669,P.affinis,H.charithonia,teneral adult,male,6/18/21,94,0.216,7.572,545.1820748,5.799809307
676,P.affinis,H.charithonia,teneral adult,male,6/18/21,121,0.2535,8.8918,640.2077631,5.290973249
696,P.affinis,H.charithonia,teneral adult,female,6/18/21,104,0.3555,12.4816,898.6776352,8.641131108
698,P.affinis,H.charithonia,teneral adult,female,6/18/21,83,0.1745,6.1114,440.0203132,5.301449556
701,P.affinis,H.charithonia,teneral adult,male,6/18/21,91,0.25,8.7686,631.3386989,6.9377879
702,P.affinis,H.charithonia,teneral adult,male,6/18/21,90,0.2845,9.9828,718.7623321,7.986248134
703,P.affinis,H.charithonia,teneral adult,female,6/18/21,96,0.0495,1.7121,123.2680189,1.284041864
704,P.affinis,H.charithonia,teneral adult,male,6/18/21,71,0.038,1.3073,94.12680785,1.325729688
740,P.affinis,H.charithonia,teneral adult,female,6/18/21,94,0.0675,2.3456,168.8803493,1.796599461
742,P.affinis,H.charithonia,teneral adult,male,6/18/21,79,0.1995,6.9913,503.370772,6.371781924
750,P.affinis,H.charithonia,teneral adult,male,6/11/21,83,0.2775,9.7364,701.0242036,8.446074742
581,P.suberosa,H.charithonia,teneral adult,male,,79,,,,
582,P.suberosa,H.charithonia,teneral adult,male,6/25/21,71,0.1425,4.9852,358.9317258,5.05537642
584,P.suberosa,H.charithonia,teneral adult,male,6/25/21,76,0.1185,4.1405,298.1152853,3.922569544
591,P.suberosa,H.charithonia,teneral adult,female,6/25/21,59,0.1435,5.0204,361.4657442,6.126538037
604,P.suberosa,H.charithonia,teneral adult,male,6/25/21,60,0.0185,0.621,44.71344995,0.745224166
606,P.suberosa,H.charithonia,teneral adult,male,6/25/21,91,0.1565,5.4779,394.4079828,4.334153657
608,P.suberosa,H.charithonia,teneral adult,male,6/25/21,61,0.233,8.1703,588.2603869,9.643612899
609,P.suberosa,H.charithonia,teneral adult,female,6/25/21,64,0.0655,2.2752,163.8123126,2.559567384
622,P.suberosa,H.charithonia,teneral adult,male,6/25/21,75,0.225,7.8887,567.98824,7.573176534
637,P.suberosa,H.charithonia,teneral adult,male,6/25/21,180,0.215,7.5368,542.6480565,3.014711425
